"","x"
"1","AL627309.6"
"2","AL627309.7"
"3","AL732372.3"
"4","AL732372.2"
"5","MIR6723"
"6","MTATP8P1"
"7","AL669831.3"
"8","LINC01128"
"9","TNFRSF18"
"10","AL139287.1"
"11","CCNL2"
"12","RN7SL657P"
"13","MORN1"
"14","C1orf174"
"15","MIR6728"
"16","ENO1"
"17","GPR157"
"18","H6PD"
"19","SPSB1"
"20","LZIC"
"21","KIF1B"
"22","PGD"
"23","AGTRAP"
"24","MFN2"
"25","TNFRSF1B"
"26","DHRS3"
"27","TMEM51-AS1"
"28","TMEM51"
"29","RSC1A1"
"30","DDI2"
"31","SLC25A34"
"32","SZRD1"
"33","SPATA21"
"34","AL137127.1"
"35","UBR4"
"36","AL035413.1"
"37","EMC1"
"38","PQLC2"
"39","CDA"
"40","ECE1"
"41","ZNF436"
"42","ASAP3"
"43","GALE"
"44","IFNLR1"
"45","STPG1"
"46","CLIC4"
"47","SDHDP6"
"48","LDLRAP1"
"49","SELENON"
"50","AL020996.1"
"51","AL020996.2"
"52","UBXN11"
"53","SLC9A1"
"54","TMEM222"
"55","SYTL1"
"56","GPR3"
"57","FGR"
"58","EYA3"
"59","SPCS2P4"
"60","AL137792.1"
"61","SESN2"
"62","PHACTR4"
"63","SNHG12"
"64","LAPTM5"
"65","AL451070.1"
"66","ZCCHC17"
"67","SPOCD1"
"68","PTP4A2"
"69","KPNA6"
"70","IQCC"
"71","MARCKSL1"
"72","BSDC1"
"73","YARS"
"74","AL513327.1"
"75","PHC2"
"76","TMEM35B"
"77","PSMB2"
"78","CLSPN"
"79","AGO3"
"80","COL8A2"
"81","SH3D21"
"82","LINC01137"
"83","MTF1"
"84","AL929472.2"
"85","INPP5B"
"86","UTP11"
"87","AL139260.1"
"88","RLF"
"89","AL031985.3"
"90","ZNF684"
"91","HIVEP3"
"92","FOXJ3"
"93","ATP6V1E1P1"
"94","TIE1"
"95","AL139289.1"
"96","MED8"
"97","SZT2-AS1"
"98","SZT2"
"99","TMEM53"
"100","ARMH1"
"101","PLK3"
"102","BTBD19"
"103","TESK2"
"104","CCDC17"
"105","AL604028.2"
"106","IPP"
"107","PIK3R3"
"108","FAAH"
"109","AL050343.1"
"110","BTF3L4"
"111","ZFYVE9"
"112","TUT4"
"113","YIPF1"
"114","MYSM1"
"115","JUN"
"116","LINC01358"
"117","USP1"
"118","SLC2A3P2"
"119","AK4"
"120","LEPROT"
"121","PDE4B"
"122","WDR78"
"123","ST6GALNAC3"
"124","PIGK"
"125","AC138392.1"
"126","MIGA1"
"127","IFI44L"
"128","AL138799.1"
"129","RPF1"
"130","AL359762.3"
"131","SPATA1"
"132","CTBS"
"133","AL359762.1"
"134","MCOLN3"
"135","BCL10"
"136","ODF2L"
"137","SH3GLB1"
"138","AC093155.1"
"139","LMO4"
"140","GBP3"
"141","GBP1"
"142","PTGES3P1"
"143","GBP2"
"144","GBP7"
"145","GBP4"
"146","AC099063.4"
"147","AC099063.1"
"148","GBP5"
"149","GBP1P1"
"150","LRRC8B"
"151","LRRC8C-DT"
"152","LRRC8D"
"153","TGFBR3"
"154","SETSIP"
"155","BTBD8"
"156","TMED5"
"157","CCDC18"
"158","DR1"
"159","DPYD-AS1"
"160","SEC63P1"
"161","DPYD"
"162","AC118553.2"
"163","MFSD14A"
"164","SLC30A7"
"165","RNPC3"
"166","AMY2B"
"167","AL390036.1"
"168","TAF13"
"169","SARS"
"170","SORT1"
"171","PSMA5"
"172","CSF1"
"173","AHCYL1"
"174","RBM15"
"175","AL365361.1"
"176","KCNA3"
"177","CD53"
"178","AL360270.1"
"179","LRIF1"
"180","AL360270.3"
"181","AL355816.2"
"182","CEPT1"
"183","DENND2D"
"184","CHI3L2"
"185","AL603832.1"
"186","MOV10"
"187","RHOC"
"188","AL603832.3"
"189","HIPK1"
"190","TRIM33"
"191","PKMP1"
"192","SIKE1"
"193","SLC22A15"
"194","ATP1A1"
"195","ATP1A1-AS1"
"196","NAP1L4P1"
"197","CD58"
"198","TENT5C"
"199","PNRC2P1"
"200","GDAP2"
"201","LINC00622"
"202","HSD3BP5"
"203","ZNF697"
"204","PHGDH"
"205","AC244669.2"
"206","PFN1P2"
"207","AC241952.1"
"208","FCGR1B"
"209","AC244453.2"
"210","FAM91A3P"
"211","FCGR1CP"
"212","AC239798.2"
"213","HIST2H2BB"
"214","FAM72D"
"215","LINC01145"
"216","POLR3C"
"217","RBM8A"
"218","LIX1L-AS1"
"219","SEC22B4P"
"220","PDIA3P1"
"221","PDE4DIP"
"222","AC245297.3"
"223","AC245297.1"
"224","LINC00869"
"225","FCGR1A"
"226","AC243772.2"
"227","HIST2H2BF"
"228","HIST2H2AA3"
"229","HIST2H2AA4"
"230","HIST2H2BE"
"231","MTMR11"
"232","OTUD7B"
"233","PLEKHO1"
"234","CIART"
"235","PRPF3"
"236","RPRD2"
"237","MCL1"
"238","PRUNE1"
"239","LYSMD1"
"240","PSMD4"
"241","S100A11"
"242","S100A9"
"243","S100A8"
"244","S100A16"
"245","S100A13"
"246","S100A1"
"247","AL162258.1"
"248","ILF2"
"249","GATAD2B"
"250","SLC39A1"
"251","AL358472.7"
"252","JTB"
"253","AL358472.2"
"254","AL358472.6"
"255","RAB13"
"256","C1orf43"
"257","HAX1"
"258","ATP8B2"
"259","ADAR"
"260","CKS1B"
"261","DCST1"
"262","EFNA1"
"263","SLC50A1"
"264","TRIM46"
"265","MUC1"
"266","AC234582.1"
"267","THBS3"
"268","GBA"
"269","ASH1L"
"270","AL355388.2"
"271","ARHGEF2"
"272","AL355388.3"
"273","IQGAP3"
"274","NES"
"275","CRABP2"
"276","RRNAD1"
"277","CD1D"
"278","MNDA"
"279","AIM2"
"280","FCRL6"
"281","SLAMF8"
"282","SNHG28"
"283","AL590560.1"
"284","SNHG28"
"285","CFAP45"
"286","TAGLN2"
"287","IGSF9"
"288","PEX19"
"289","COPA"
"290","AL121985.1"
"291","CD48"
"292","SLAMF7"
"293","LY9"
"294","USF1"
"295","DEDD"
"296","B4GALT3"
"297","FCER1G"
"298","FCGR3A"
"299","FCGR3B"
"300","FCRLA"
"301","ATF6"
"302","TMCO1"
"303","POU2F1"
"304","TIPRL"
"305","TBX19"
"306","ATP1B1"
"307","NME7"
"308","SCYL3"
"309","AL354732.1"
"310","GORAB"
"311","PRRX1"
"312","AL031274.1"
"313","VAMP4"
"314","SUCO"
"315","KLHL20"
"316","KIAA0040"
"317","RASAL2"
"318","XPR1"
"319","KIAA1614"
"320","KIAA1614-AS1"
"321","AL162431.2"
"322","STX6"
"323","MR1"
"324","GLUL"
"325","RGS16"
"326","NCF2"
"327","FAM129A"
"328","TPR"
"329","OCLM"
"330","PTGS2"
"331","RGS1"
"332","CDC73"
"333","EEF1A1P14"
"334","NEK7"
"335","PTPRC"
"336","ZNF281"
"337","DDX59"
"338","CAMSAP2"
"339","IGFN1"
"340","PHLDA3"
"341","AC096677.1"
"342","RPS10P7"
"343","NAV1"
"344","PPP1R12B"
"345","KDM5B"
"346","PPFIA4"
"347","CHI3L1"
"348","CHIT1"
"349","BTG2"
"350","AL513343.1"
"351","SOX13"
"352","PPP1R15B"
"353","MDM4"
"354","AL512306.2"
"355","LRRN2"
"356","TMEM81"
"357","RBBP5"
"358","ELK4"
"359","FAM72A"
"360","IKBKE"
"361","C1orf147"
"362","RASSF5"
"363","FCMR"
"364","CD55"
"365","CD46"
"366","MIR29B2CHG"
"367","IRF6"
"368","AC092017.1"
"369","SLC30A1"
"370","PPP2R5A"
"371","ATF3"
